variant,glom_a,glom_b,n_a,n_b,n_overlap,n_union,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean,D_mag_sum_a,D_mag_sum_b,synergy
pn,VA3,VM5d,22,21,0,43,500,0.05800000000000005,0.4743958115577698,0.46444371342658997,0.2661979057788849,0.261221856713295,0.15391600131988525,0.4126165509223938,-0.028628451088131612
pn,VA3,VM5v,22,14,1,35,500,0.02400000000000002,0.35533833503723145,0.35026559233665466,0.18966916751861573,0.18713279616832734,0.15391600131988525,0.27131348848342896,-0.02813166751456464
pn,VA3,VM6,22,18,2,38,500,0.06599999999999995,0.42627429962158203,0.4204500615596771,0.246137149810791,0.24322503077983854,0.15391600131988525,0.3640657067298889,-0.0356718706306296
pn,VA3,VM6l,22,19,2,39,500,0.06599999999999995,0.4259926676750183,0.4200063943862915,0.24599633383750913,0.24300319719314573,0.15391600131988525,0.3691297769546509,-0.04023813136255683
pn,VA3,VM6m,22,12,2,32,500,0.06599999999999995,0.4258829355239868,0.419895201921463,0.24594146776199338,0.24294760096073148,0.15391600131988525,0.3689984083175659,-0.04023671461182232
pn,VA3,VM6v,22,18,3,37,500,0.05600000000000005,0.44827407598495483,0.44309374690055847,0.25213703799247744,0.24954687345027926,0.15391600131988525,0.39571332931518555,-0.04044864133294368
pn,VA3,VM7d,22,17,0,39,500,0.016000000000000014,0.2262611985206604,0.22493600845336914,0.12113059926033021,0.12046800422668458,0.15391600131988525,0.09683513641357422,-0.009585462228756114
pn,VA3,VM7v,22,13,3,32,500,0.014000000000000012,0.21381056308746338,0.21127456426620483,0.1139052815437317,0.11263728213310242,0.15391600131988525,0.09899049997329712,-0.023859716281172894
pn,VA4,VA5,5,12,0,17,500,0.030000000000000027,0.2735225558280945,0.26783767342567444,0.15176127791404725,0.14891883671283723,0.13133090734481812,0.18265801668167114,-0.01647772513378598
pn,VA4,VA6,5,21,1,25,500,0.052000000000000046,0.36618900299072266,0.3641893267631531,0.20909450149536135,0.20809466338157656,0.13133090734481812,0.30973321199417114,-0.034197572582247204
pn,VA4,VA7l,5,2,0,7,500,0.06000000000000005,0.3082485795021057,0.3038669228553772,0.18412428975105288,0.18193346142768863,0.13133090734481812,0.2288380265235901,-0.02186684870796185
pn,VA4,VA7m,5,17,1,21,500,0.016000000000000014,0.24272912740707397,0.2390790730714798,0.129364563703537,0.1275395365357399,0.13133090734481812,0.1587257981300354,-0.026481974980331557
pn,VA4,VC1,5,17,3,19,500,0.04400000000000004,0.3803819417953491,0.37241771817207336,0.21219097089767458,0.2082088590860367,0.13133090734481812,0.37047135829925537,-0.07276598421801594
pn,VA4,VC2,5,7,0,12,500,0.06399999999999995,0.35355937480926514,0.3446839153766632,0.20877968740463254,0.20434195768833158,0.13133090734481812,0.2858002185821533,-0.026037349091964757
